,Unnamed: 0,Time ,User's full name ,Affected user ,Event context ,Component ,Name of event ,Description ,Origin ,IP address 
20,20,22.01.2021 21:30:25,310,310,Course: Programming (LTAT.03.001) ,Student report ,The Review User Report has been viewed ,The user with id '156390' viewed the user report in the gradebook.,web,2001:7d0:80d0:8a80:a020:5d1d:f40a:7c61
21,21,22.01.2021 21:29:59,310,310,Course: Programming (LTAT.03.001) ,Student report ,The Review User Report has been viewed ,The user with id '156390' viewed the user report in the gradebook.,web,2001:7d0:80d0:8a80:a020:5d1d:f40a:7c61
338,338,15.01.2021 13:59:30,310,-,Course: Programming (LTAT.03.001) ,System ,The course is viewed. ,The user with id '156390' viewed the course with id '500'.,web,198.8.92.78
360,360,14.01.2021 23:16:24,310,-,VPL Exercise: 8.01 Section 2 and 3 of the examination ,Virtual Programming Lab ,MOD_VPL: Submission Viewed ,The user with id 156390 viewed  VPL submission with id 1357144,web,104.200.132.38
361,361,14.01.2021 23:16:18,310,-,VPL Exercise: 8.01 Section 2 and 3 of the examination ,Virtual Programming Lab ,MOD_VPL: VPL DESCRIPTION Viewed ,The user with id 156390 viewed description of VPL activity with id 2155,web,104.200.132.38
362,362,14.01.2021 23:15:50,310,-,Test: 15th week test ,Test ,The course module has been viewed. ,The user with id '156390' viewed the 'quiz' activity with course module id '753935'.,web,104.200.132.38
363,363,14.01.2021 23:15:34,310,310,Course: Programming (LTAT.03.001) ,Student report ,The Review User Report has been viewed ,The user with id '156390' viewed the user report in the gradebook.,web,104.200.132.38
364,364,14.01.2021 23:15:29,310,-,Course: Programming (LTAT.03.001) ,System ,The course is viewed. ,The user with id '156390' viewed the course with id '500'.,web,104.200.132.38
1068,1068,9.01.2021 17:01:01,310,-,Course: Programming (LTAT.03.001) ,System ,The course is viewed. ,The user with id '156390' viewed the course with id '500'.,web,185.174.159.68
1069,1069,9.01.2021 17:00:24,310,310,Course: Programming (LTAT.03.001) ,Student report ,The Review User Report has been viewed ,The user with id '156390' viewed the user report in the gradebook.,web,185.174.159.68
1070,1070,9.01.2021 17:00:18,310,-,Course: Programming (LTAT.03.001) ,System ,The course is viewed. ,The user with id '156390' viewed the course with id '500'.,web,185.174.159.68
1203,1203,8.01.2021 13:04:41,310,-,Task: 8.01 Exam Logs and Video Submission ,Task ,The submitted work status has been viewed. ,The user with id '156390' has viewed the submission status page for the assignment with course module id '543106'.,web,91.129.107.164
1204,1204,8.01.2021 13:04:41,310,-,Task: 8.01 Exam Logs and Video Submission ,Task ,The course module has been viewed. ,The user with id '156390' viewed the 'assign' activity with course module id '543106'.,web,91.129.107.164
1205,1205,8.01.2021 13:04:41,310,-,Task: 8.01 Exam Logs and Video Submission ,Task ,The work has been submitted. ,The user with id '156390' has submitted the submission with id '1891126' for the assignment with course module id '543106'.,web,91.129.107.164
1206,1206,8.01.2021 13:04:41,310,310,Task: 8.01 Exam Logs and Video Submission ,Online text submission ,The work provided has been updated. ,The user with id '156390' updated an online text submission with '14' words in the assignment with course module id '543106'.,web,91.129.107.164
1207,1207,8.01.2021 13:04:41,310,-,Task: 8.01 Exam Logs and Video Submission ,Online text submission ,Web-based text is uploaded. ,The user with id '156390' has saved an online text submission with id '1891126' in the assignment activity with course module id '543106'.,web,91.129.107.164
1208,1208,8.01.2021 13:04:41,310,310,Task: 8.01 Exam Logs and Video Submission ,Filing file ,The work provided has been updated. ,The user with id '156390' updated a file submission and uploaded '1' file/s in the assignment with course module id '543106'.,web,91.129.107.164
1209,1209,8.01.2021 13:04:41,310,-,Task: 8.01 Exam Logs and Video Submission ,Filing file ,The file is uploaded. ,The user with id '156390' has uploaded a file to the submission with id '1891126' in the assignment activity with course module id '543106'.,web,91.129.107.164
1210,1210,8.01.2021 13:04:41,310,-,Task: 8.01 Exam Logs and Video Submission ,Task ,The course module has been viewed. ,The user with id '156390' viewed the 'assign' activity with course module id '543106'.,web,91.129.107.164
1211,1211,8.01.2021 13:04:28,310,310,Task: 8.01 Exam Logs and Video Submission ,Task ,The submission form is viewed. ,The user with id '156390' viewed their submission for the assignment with course module id '543106'.,web,91.129.107.164
1212,1212,8.01.2021 13:04:28,310,-,Task: 8.01 Exam Logs and Video Submission ,Task ,The course module has been viewed. ,The user with id '156390' viewed the 'assign' activity with course module id '543106'.,web,91.129.107.164
1285,1285,8.01.2021 12:54:27,310,-,Task: 8.01 Exam Logs and Video Submission ,Task ,The submitted work status has been viewed. ,The user with id '156390' has viewed the submission status page for the assignment with course module id '543106'.,web,91.129.107.164
1286,1286,8.01.2021 12:54:27,310,-,Task: 8.01 Exam Logs and Video Submission ,Task ,The course module has been viewed. ,The user with id '156390' viewed the 'assign' activity with course module id '543106'.,web,91.129.107.164
1287,1287,8.01.2021 12:54:27,310,-,Task: 8.01 Exam Logs and Video Submission ,Task ,The work has been submitted. ,The user with id '156390' has submitted the submission with id '1891126' for the assignment with course module id '543106'.,web,91.129.107.164
1288,1288,8.01.2021 12:54:27,310,310,Task: 8.01 Exam Logs and Video Submission ,Online text submission ,The work to be submitted is created. ,The user with id '156390' created an online text submission with '0' words in the assignment with course module id '543106'.,web,91.129.107.164
1289,1289,8.01.2021 12:54:27,310,-,Task: 8.01 Exam Logs and Video Submission ,Online text submission ,Web-based text is uploaded. ,The user with id '156390' has saved an online text submission with id '1891126' in the assignment activity with course module id '543106'.,web,91.129.107.164
1290,1290,8.01.2021 12:54:26,310,310,Task: 8.01 Exam Logs and Video Submission ,Filing file ,The work to be submitted is created. ,The user with id '156390' created a file submission and uploaded '1' file/s in the assignment with course module id '543106'.,web,91.129.107.164
1291,1291,8.01.2021 12:54:26,310,-,Task: 8.01 Exam Logs and Video Submission ,Filing file ,The file is uploaded. ,The user with id '156390' has uploaded a file to the submission with id '1891126' in the assignment activity with course module id '543106'.,web,91.129.107.164
1292,1292,8.01.2021 12:54:26,310,-,Task: 8.01 Exam Logs and Video Submission ,Task ,The course module has been viewed. ,The user with id '156390' viewed the 'assign' activity with course module id '543106'.,web,91.129.107.164
1293,1293,8.01.2021 12:52:49,310,310,Task: 8.01 Exam Logs and Video Submission ,Task ,The submission form is viewed. ,The user with id '156390' viewed their submission for the assignment with course module id '543106'.,web,91.129.107.164
1294,1294,8.01.2021 12:52:49,310,-,Task: 8.01 Exam Logs and Video Submission ,Task ,The course module has been viewed. ,The user with id '156390' viewed the 'assign' activity with course module id '543106'.,web,91.129.107.164
