,Unnamed: 0,Time ,User's full name ,Affected user ,Event context ,Component ,Name of event ,Description ,Origin ,IP address 
355,355,15.01.2021 19:37:34,121,121,Course: Programming (LTAT.03.001) ,System ,The course user report has been viewed. ,The user with id '153879' viewed the user report for the course with id '500' for user with id '153879'.,web,2001:7d0:8900:2780:4445:7ae6:649f:beca
519,519,15.01.2021 12:45:07,121,-,Task: 8.01 Exam Logs and Video Submission ,Task ,The submitted work status has been viewed. ,The user with id '153879' has viewed the submission status page for the assignment with course module id '543106'.,web,46.131.50.208
520,520,15.01.2021 12:45:07,121,-,Task: 8.01 Exam Logs and Video Submission ,Task ,The course module has been viewed. ,The user with id '153879' viewed the 'assign' activity with course module id '543106'.,web,46.131.50.208
521,521,15.01.2021 12:44:59,121,-,Course: Programming (LTAT.03.001) ,System ,The course is viewed. ,The user with id '153879' viewed the course with id '500'.,web,46.131.50.208
522,522,15.01.2021 12:43:28,121,-,VPL Exercise: 8.01 Section 2 and 3 of the examination ,Virtual Programming Lab ,MOD_VPL: VPL DESCRIPTION Viewed ,The user with id 153879 viewed description of VPL activity with id 2155,web,46.131.50.208
523,523,15.01.2021 12:43:21,121,-,Course: Programming (LTAT.03.001) ,System ,The course is viewed. ,The user with id '153879' viewed the course with id '500'.,web,46.131.50.208
524,524,15.01.2021 12:43:14,121,-,Task: 8.01 Exam Logs and Video Submission ,Task ,The submitted work status has been viewed. ,The user with id '153879' has viewed the submission status page for the assignment with course module id '543106'.,web,46.131.50.208
525,525,15.01.2021 12:43:14,121,-,Task: 8.01 Exam Logs and Video Submission ,Task ,The course module has been viewed. ,The user with id '153879' viewed the 'assign' activity with course module id '543106'.,web,46.131.50.208
526,526,15.01.2021 12:43:05,121,-,Course: Programming (LTAT.03.001) ,System ,The course is viewed. ,The user with id '153879' viewed the course with id '500'.,web,46.131.50.208
527,527,15.01.2021 12:42:37,121,121,Course: Programming (LTAT.03.001) ,System ,The course user report has been viewed. ,The user with id '153879' viewed the user report for the course with id '500' for user with id '153879'.,web,46.131.50.208
601,601,14.01.2021 22:55:03,121,121,Course: Programming (LTAT.03.001) ,System ,The course user report has been viewed. ,The user with id '153879' viewed the user report for the course with id '500' for user with id '153879'.,web,2001:7d0:8900:2780:65d3:8b2c:c5df:90d3
1876,1876,13.01.2021 09:16:03,121,121,Course: Programming (LTAT.03.001) ,System ,The course user report has been viewed. ,The user with id '153879' viewed the user report for the course with id '500' for user with id '153879'.,web,2001:7d0:8900:2780:65d3:8b2c:c5df:90d3
1877,1877,13.01.2021 09:16:02,121,121,Course: Programming (LTAT.03.001) ,System ,The course user report has been viewed. ,The user with id '153879' viewed the user report for the course with id '500' for user with id '153879'.,web,2001:7d0:8900:2780:65d3:8b2c:c5df:90d3
2037,2037,12.01.2021 07:50:24,121,121,Course: Programming (LTAT.03.001) ,System ,User profile has been viewed ,The user with id '153879' viewed the profile for the user with id '153879' in the course with id '500'.,web,2001:7d0:8900:2780:d559:8a43:7fb4:36f
2038,2038,12.01.2021 07:50:23,121,121,Course: Programming (LTAT.03.001) ,System ,The course user report has been viewed. ,The user with id '153879' viewed the user report for the course with id '500' for user with id '153879'.,web,2001:7d0:8900:2780:d559:8a43:7fb4:36f
2039,2039,12.01.2021 07:49:14,121,121,Course: Programming (LTAT.03.001) ,System ,The course user report has been viewed. ,The user with id '153879' viewed the user report for the course with id '500' for user with id '153879'.,web,2001:7d0:8900:2780:d559:8a43:7fb4:36f
2040,2040,12.01.2021 07:49:09,121,121,Course: Programming (LTAT.03.001) ,System ,The course user report has been viewed. ,The user with id '153879' viewed the user report for the course with id '500' for user with id '153879'.,web,2001:7d0:8900:2780:d559:8a43:7fb4:36f
2260,2260,10.01.2021 10:02:24,121,121,Course: Programming (LTAT.03.001) ,System ,The course user report has been viewed. ,The user with id '153879' viewed the user report for the course with id '500' for user with id '153879'.,web,2001:7d0:8900:2780:e10a:794f:7714:e933
2261,2261,10.01.2021 10:02:22,121,121,Course: Programming (LTAT.03.001) ,System ,The course user report has been viewed. ,The user with id '153879' viewed the user report for the course with id '500' for user with id '153879'.,web,2001:7d0:8900:2780:e10a:794f:7714:e933
2262,2262,10.01.2021 10:02:21,121,121,Course: Programming (LTAT.03.001) ,System ,The course user report has been viewed. ,The user with id '153879' viewed the user report for the course with id '500' for user with id '153879'.,web,2001:7d0:8900:2780:e10a:794f:7714:e933
2263,2263,10.01.2021 10:02:19,121,121,Course: Programming (LTAT.03.001) ,System ,The course user report has been viewed. ,The user with id '153879' viewed the user report for the course with id '500' for user with id '153879'.,web,2001:7d0:8900:2780:e10a:794f:7714:e933
2658,2658,8.01.2021 12:47:36,121,-,Task: 8.01 Exam Logs and Video Submission ,Task ,The submitted work status has been viewed. ,The user with id '153879' has viewed the submission status page for the assignment with course module id '543106'.,web,2001:7d0:8900:2780:8155:65da:f170:b0ef
2659,2659,8.01.2021 12:47:36,121,-,Task: 8.01 Exam Logs and Video Submission ,Task ,The course module has been viewed. ,The user with id '153879' viewed the 'assign' activity with course module id '543106'.,web,2001:7d0:8900:2780:8155:65da:f170:b0ef
2660,2660,8.01.2021 12:47:35,121,-,Task: 8.01 Exam Logs and Video Submission ,Task ,The work has been submitted. ,The user with id '153879' has submitted the submission with id '1891438' for the assignment with course module id '543106'.,web,2001:7d0:8900:2780:8155:65da:f170:b0ef
2661,2661,8.01.2021 12:47:35,121,121,Task: 8.01 Exam Logs and Video Submission ,Online text submission ,The work to be submitted is created. ,The user with id '153879' created an online text submission with '9' words in the assignment with course module id '543106'.,web,2001:7d0:8900:2780:8155:65da:f170:b0ef
2662,2662,8.01.2021 12:47:35,121,-,Task: 8.01 Exam Logs and Video Submission ,Online text submission ,Web-based text is uploaded. ,The user with id '153879' has saved an online text submission with id '1891438' in the assignment activity with course module id '543106'.,web,2001:7d0:8900:2780:8155:65da:f170:b0ef
2663,2663,8.01.2021 12:47:35,121,121,Task: 8.01 Exam Logs and Video Submission ,Filing file ,The work to be submitted is created. ,The user with id '153879' created a file submission and uploaded '3' file/s in the assignment with course module id '543106'.,web,2001:7d0:8900:2780:8155:65da:f170:b0ef
2664,2664,8.01.2021 12:47:35,121,-,Task: 8.01 Exam Logs and Video Submission ,Filing file ,The file is uploaded. ,The user with id '153879' has uploaded a file to the submission with id '1891438' in the assignment activity with course module id '543106'.,web,2001:7d0:8900:2780:8155:65da:f170:b0ef
2665,2665,8.01.2021 12:47:35,121,-,Task: 8.01 Exam Logs and Video Submission ,Task ,The course module has been viewed. ,The user with id '153879' viewed the 'assign' activity with course module id '543106'.,web,2001:7d0:8900:2780:8155:65da:f170:b0ef
2673,2673,8.01.2021 12:39:45,121,-,File: Rules for Exam (and Follow-up) ,File ,The course module has been viewed. ,The user with id '153879' viewed the 'resource' activity with course module id '828095'.,web,2001:7d0:8900:2780:8155:65da:f170:b0ef
2674,2674,8.01.2021 12:39:31,121,-,Course: Programming (LTAT.03.001) ,System ,The course is viewed. ,The user with id '153879' viewed the course with id '500'.,web,2001:7d0:8900:2780:8155:65da:f170:b0ef
2675,2675,8.01.2021 12:37:57,121,121,Task: 8.01 Exam Logs and Video Submission ,Task ,The submission form is viewed. ,The user with id '153879' viewed their submission for the assignment with course module id '543106'.,web,2001:7d0:8900:2780:8155:65da:f170:b0ef
2676,2676,8.01.2021 12:37:56,121,-,Task: 8.01 Exam Logs and Video Submission ,Task ,The course module has been viewed. ,The user with id '153879' viewed the 'assign' activity with course module id '543106'.,web,2001:7d0:8900:2780:8155:65da:f170:b0ef
2677,2677,8.01.2021 12:29:32,121,-,Task: 8.01 Exam Logs and Video Submission ,Task ,The submitted work status has been viewed. ,The user with id '153879' has viewed the submission status page for the assignment with course module id '543106'.,web,2001:7d0:8900:2780:8155:65da:f170:b0ef
2678,2678,8.01.2021 12:29:31,121,-,Task: 8.01 Exam Logs and Video Submission ,Task ,The course module has been viewed. ,The user with id '153879' viewed the 'assign' activity with course module id '543106'.,web,2001:7d0:8900:2780:8155:65da:f170:b0ef
2738,2738,8.01.2021 11:30:26,121,-,File: Statistics.txt ,File ,The course module has been viewed. ,The user with id '153879' viewed the 'resource' activity with course module id '829837'.,web,2001:7d0:8900:2780:8155:65da:f170:b0ef
2739,2739,8.01.2021 11:30:14,121,-,Course: Programming (LTAT.03.001) ,System ,The course is viewed. ,The user with id '153879' viewed the course with id '500'.,web,2001:7d0:8900:2780:8155:65da:f170:b0ef
2813,2813,8.01.2021 11:05:05,121,-,Folder: Sample solutions for home tasks ,Folder ,The course module has been viewed. ,The user with id '153879' viewed the 'folder' activity with course module id '93256'.,web,2001:7d0:8900:2780:15af:d398:e138:6302
2817,2817,8.01.2021 11:04:42,121,-,Course: Programming (LTAT.03.001) ,System ,The course is viewed. ,The user with id '153879' viewed the course with id '500'.,web,2001:7d0:8900:2780:15af:d398:e138:6302
2818,2818,8.01.2021 11:03:18,121,-,Folder: Sample solutions for home tasks ,Folder ,The course module has been viewed. ,The user with id '153879' viewed the 'folder' activity with course module id '94093'.,web,2001:7d0:8900:2780:15af:d398:e138:6302
2819,2819,8.01.2021 11:02:34,121,-,Course: Programming (LTAT.03.001) ,System ,The course is viewed. ,The user with id '153879' viewed the course with id '500'.,web,2001:7d0:8900:2780:15af:d398:e138:6302
2828,2828,8.01.2021 10:58:04,121,-,Task: Presentation of sample exam logs and video ,Task ,The submitted work status has been viewed. ,The user with id '153879' has viewed the submission status page for the assignment with course module id '542234'.,web,2001:7d0:8900:2780:8155:65da:f170:b0ef
