,Unnamed: 0,Time ,User's full name ,Affected user ,Event context ,Component ,Name of event ,Description ,Origin ,IP address 
163,163,27.01.2021 18:49:24,207,207,Course: Programming (LTAT.03.001) ,Student report ,The Review User Report has been viewed ,The user with id '129100' viewed the user report in the gradebook.,web,193.40.25.253
164,164,27.01.2021 18:49:15,207,-,Course: Programming (LTAT.03.001) ,System ,The course is viewed. ,The user with id '129100' viewed the course with id '500'.,web,193.40.25.253
194,194,27.01.2021 15:13:13,207,-,Task: 27.01 Exam Logs and Video Submission ,Task ,The submitted work status has been viewed. ,The user with id '129100' has viewed the submission status page for the assignment with course module id '543121'.,web,193.40.25.254
195,195,27.01.2021 15:13:13,207,-,Task: 27.01 Exam Logs and Video Submission ,Task ,The course module has been viewed. ,The user with id '129100' viewed the 'assign' activity with course module id '543121'.,web,193.40.25.254
196,196,27.01.2021 15:13:13,207,-,Task: 27.01 Exam Logs and Video Submission ,Task ,The work has been submitted. ,The user with id '129100' has submitted the submission with id '1905180' for the assignment with course module id '543121'.,web,193.40.25.254
197,197,27.01.2021 15:13:13,207,207,Task: 27.01 Exam Logs and Video Submission ,Online text submission ,The work provided has been updated. ,The user with id '129100' updated an online text submission with '20' words in the assignment with course module id '543121'.,web,193.40.25.254
198,198,27.01.2021 15:13:13,207,-,Task: 27.01 Exam Logs and Video Submission ,Online text submission ,Web-based text is uploaded. ,The user with id '129100' has saved an online text submission with id '1905180' in the assignment activity with course module id '543121'.,web,193.40.25.254
199,199,27.01.2021 15:13:13,207,207,Task: 27.01 Exam Logs and Video Submission ,Filing file ,The work provided has been updated. ,The user with id '129100' updated a file submission and uploaded '3' file/s in the assignment with course module id '543121'.,web,193.40.25.254
200,200,27.01.2021 15:13:13,207,-,Task: 27.01 Exam Logs and Video Submission ,Filing file ,The file is uploaded. ,The user with id '129100' has uploaded a file to the submission with id '1905180' in the assignment activity with course module id '543121'.,web,193.40.25.254
201,201,27.01.2021 15:13:13,207,-,Task: 27.01 Exam Logs and Video Submission ,Task ,The course module has been viewed. ,The user with id '129100' viewed the 'assign' activity with course module id '543121'.,web,193.40.25.254
202,202,27.01.2021 15:13:04,207,207,Task: 27.01 Exam Logs and Video Submission ,Task ,The submission form is viewed. ,The user with id '129100' viewed their submission for the assignment with course module id '543121'.,web,193.40.25.254
203,203,27.01.2021 15:13:03,207,-,Task: 27.01 Exam Logs and Video Submission ,Task ,The course module has been viewed. ,The user with id '129100' viewed the 'assign' activity with course module id '543121'.,web,193.40.25.254
204,204,27.01.2021 15:12:59,207,-,Task: 27.01 Exam Logs and Video Submission ,Task ,The submitted work status has been viewed. ,The user with id '129100' has viewed the submission status page for the assignment with course module id '543121'.,web,193.40.25.254
205,205,27.01.2021 15:12:59,207,-,Task: 27.01 Exam Logs and Video Submission ,Task ,The course module has been viewed. ,The user with id '129100' viewed the 'assign' activity with course module id '543121'.,web,193.40.25.254
206,206,27.01.2021 15:04:51,207,-,BIGBLUEBUTTONBN: ABILINE ,Bigbluebuttonbn ,BigBlueButtonBn's meeting joined ,The user with id '129100' has joined a bigbluebutton meeting for the bigbluebuttonbn activity with id '7909' for the course id '500'.,web,193.40.25.254
207,207,27.01.2021 15:04:46,207,-,BIGBLUEBUTTONBN: ABILINE ,Bigbluebuttonbn ,BigBlueButtonbn's action has been viewed ,The user with id '129100' viewed the bigbluebuttonbn activity with id '7909' for the course id '500'.,web,193.40.25.254
208,208,27.01.2021 14:59:25,207,-,Task: 27.01 Exam Logs and Video Submission ,Task ,The submitted work status has been viewed. ,The user with id '129100' has viewed the submission status page for the assignment with course module id '543121'.,web,193.40.25.254
209,209,27.01.2021 14:59:24,207,-,Task: 27.01 Exam Logs and Video Submission ,Task ,The course module has been viewed. ,The user with id '129100' viewed the 'assign' activity with course module id '543121'.,web,193.40.25.254
210,210,27.01.2021 14:59:24,207,-,Task: 27.01 Exam Logs and Video Submission ,Task ,The work has been submitted. ,The user with id '129100' has submitted the submission with id '1905180' for the assignment with course module id '543121'.,web,193.40.25.254
211,211,27.01.2021 14:59:24,207,207,Task: 27.01 Exam Logs and Video Submission ,Online text submission ,The work to be submitted is created. ,The user with id '129100' created an online text submission with '0' words in the assignment with course module id '543121'.,web,193.40.25.254
212,212,27.01.2021 14:59:24,207,-,Task: 27.01 Exam Logs and Video Submission ,Online text submission ,Web-based text is uploaded. ,The user with id '129100' has saved an online text submission with id '1905180' in the assignment activity with course module id '543121'.,web,193.40.25.254
213,213,27.01.2021 14:59:24,207,207,Task: 27.01 Exam Logs and Video Submission ,Filing file ,The work to be submitted is created. ,The user with id '129100' created a file submission and uploaded '3' file/s in the assignment with course module id '543121'.,web,193.40.25.254
214,214,27.01.2021 14:59:24,207,-,Task: 27.01 Exam Logs and Video Submission ,Filing file ,The file is uploaded. ,The user with id '129100' has uploaded a file to the submission with id '1905180' in the assignment activity with course module id '543121'.,web,193.40.25.254
215,215,27.01.2021 14:59:24,207,-,Task: 27.01 Exam Logs and Video Submission ,Task ,The course module has been viewed. ,The user with id '129100' viewed the 'assign' activity with course module id '543121'.,web,193.40.25.254
216,216,27.01.2021 14:56:47,207,207,Task: 27.01 Exam Logs and Video Submission ,Task ,The submission form is viewed. ,The user with id '129100' viewed their submission for the assignment with course module id '543121'.,web,193.40.25.254
