,Student index,Log File,Grade,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
0,0.0,ENlogs_LTAT.03.001_20210207-0938_FKM_02EN.csv,A,156,110,724,377,239,632,168
1,1.0,ENlogs_LTAT.03.001_20210207-0937_AT_03EN.csv,A,266,223,554,806,417,174,77
2,2.0,ENlogs_LTAT.03.001_20210207-0944_Inf_07EN.csv,A,293,186,1454,553,610,96,275
3,0.0,ENlogs_LTAT.03.001_20210207-0938_FKM_02EN.csv,A,156,110,724,377,239,632,168
4,1.0,ENlogs_LTAT.03.001_20210207-0937_AT_03EN.csv,A,266,223,554,806,417,174,77
5,2.0,ENlogs_LTAT.03.001_20210207-0944_Inf_07EN.csv,A,293,186,1454,553,610,96,275
6,0.0,ENlogs_LTAT.03.001_20210207-0938_FKM_02EN.csv,A,156,110,724,377,239,632,168
7,1.0,ENlogs_LTAT.03.001_20210207-0937_AT_03EN.csv,A,266,223,554,806,417,174,77
8,2.0,ENlogs_LTAT.03.001_20210207-0944_Inf_07EN.csv,A,293,186,1454,553,610,96,275
9,0.0,ENlogs_LTAT.03.001_20210207-0938_FKM_02EN.csv,A,156,110,724,377,239,632,168
10,1.0,ENlogs_LTAT.03.001_20210207-0937_AT_03EN.csv,A,266,223,554,806,417,174,77
11,0.0,ENlogs_LTAT.03.001_20210207-0938_FKM_02EN.csv,A,156,110,724,377,239,632,168
12,1.0,ENlogs_LTAT.03.001_20210207-0937_AT_03EN.csv,A,266,223,554,806,417,174,77
13,2.0,ENlogs_LTAT.03.001_20210207-0944_Inf_07EN.csv,A,293,186,1454,553,610,96,275
14,0.0,ENlogs_LTAT.03.001_20210207-0938_FKM_02EN.csv,A,156,110,724,377,239,632,168
15,1.0,ENlogs_LTAT.03.001_20210207-0937_AT_03EN.csv,A,266,223,554,806,417,174,77
16,0.0,ENlogs_LTAT.03.001_20210207-0938_FKM_02EN.csv,A,156,110,724,377,239,632,168
