,Student index,Log File,Grade,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
0,0.0,ENlogs_LTAT.03.001_20210207-0938_FKM_02EN.csv,A,137,64,260,136,197,513,120
1,1.0,ENlogs_LTAT.03.001_20210207-0937_AT_03EN.csv,A,183,215,388,314,269,8,72
2,2.0,ENlogs_LTAT.03.001_20210207-0944_Inf_07EN.csv,A,123,178,1221,249,545,4,176
3,0.0,ENlogs_LTAT.03.001_20210207-0938_FKM_02EN.csv,A,137,64,260,136,197,513,120
4,1.0,ENlogs_LTAT.03.001_20210207-0937_AT_03EN.csv,A,183,215,388,314,269,8,72
5,2.0,ENlogs_LTAT.03.001_20210207-0944_Inf_07EN.csv,A,123,178,1221,249,545,4,176
6,0.0,ENlogs_LTAT.03.001_20210207-0938_FKM_02EN.csv,A,137,64,260,136,197,513,120
7,1.0,ENlogs_LTAT.03.001_20210207-0937_AT_03EN.csv,A,183,215,388,314,269,8,72
8,2.0,ENlogs_LTAT.03.001_20210207-0944_Inf_07EN.csv,A,123,178,1221,249,545,4,176
9,0.0,ENlogs_LTAT.03.001_20210207-0938_FKM_02EN.csv,A,137,64,260,136,197,513,120
10,1.0,ENlogs_LTAT.03.001_20210207-0937_AT_03EN.csv,A,183,215,388,314,269,8,72
11,0.0,ENlogs_LTAT.03.001_20210207-0938_FKM_02EN.csv,A,137,64,260,136,197,513,120
12,1.0,ENlogs_LTAT.03.001_20210207-0937_AT_03EN.csv,A,183,215,388,314,269,8,72
13,2.0,ENlogs_LTAT.03.001_20210207-0944_Inf_07EN.csv,A,123,178,1221,249,545,4,176
14,0.0,ENlogs_LTAT.03.001_20210207-0938_FKM_02EN.csv,A,137,64,260,136,197,513,120
15,1.0,ENlogs_LTAT.03.001_20210207-0937_AT_03EN.csv,A,183,215,388,314,269,8,72
16,0.0,ENlogs_LTAT.03.001_20210207-0938_FKM_02EN.csv,A,137,64,260,136,197,513,120
17,1.0,ENlogs_LTAT.03.001_20210207-0937_AT_03EN.csv,A,183,215,388,314,269,8,72
18,2.0,ENlogs_LTAT.03.001_20210207-0944_Inf_07EN.csv,A,123,178,1221,249,545,4,176
19,3.0,ENlogs_LTAT.03.001_20210207-0940_FKM_03EN.csv,C,229,263,242,494,258,1,93
20,5.0,ENlogs_LTAT.03.001_20210207-0942_Inf_04_veebirühmEN.csv,B,216,165,422,162,97,17,196
21,0.0,ENlogs_LTAT.03.001_20210207-0938_FKM_02EN.csv,A,137,64,260,136,197,513,120
22,1.0,ENlogs_LTAT.03.001_20210207-0937_AT_03EN.csv,A,183,215,388,314,269,8,72
23,2.0,ENlogs_LTAT.03.001_20210207-0944_Inf_07EN.csv,A,123,178,1221,249,545,4,176
24,3.0,ENlogs_LTAT.03.001_20210207-0940_FKM_03EN.csv,C,229,263,242,494,258,1,93
25,5.0,ENlogs_LTAT.03.001_20210207-0942_Inf_04_veebirühmEN.csv,B,216,165,422,162,97,17,196
26,8.0,ENlogs_LTAT.03.001_20210207-0943_Inf_06EN.csv,A,184,244,92,487,179,185,233
27,12.0,ENlogs_LTAT.03.001_20210207-0940_Inf_01EN.csv,C,514,800,580,714,683,202,284
28,16.0,ENlogs_LTAT.03.001_20210207-0943_Inf_05EN.csv,A,151,362,693,126,85,104,59
29,18.0,ENlogs_LTAT.03.001_20210207-0938_FKM_01EN.csv,C,225,354,532,357,331,34,416
30,19.0,ENlogs_LTAT.03.001_20210207-0935-AT_01EN.csv,A,188,157,397,343,229,0,289
31,20.0,ENlogs_LTAT.03.001_20210207-0944_Inf_07EN.csv,A,174,223,243,252,153,14,216
32,23.0,ENlogs_LTAT.03.001_20210207-0942_Inf_04_veebirühmEN.csv,A,215,268,250,314,358,218,639
33,24.0,ENlogs_LTAT.03.001_20210207-0937_AT_03EN.csv,A,342,103,110,333,192,39,206
34,26.0,ENlogs_LTAT.03.001_20210207-0943_Inf_05EN.csv,D,143,330,432,279,184,4,27
